processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
TOPO040-09	CIBNOR 15199	1263459	15199	706_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						25.1941	-111.551			78				Mexico	Baja California Sur	Los Cabos	Ley Federal de Agua No. 4	Desert									
TOPO043-09	CIBNOR 15208	1263462	15208	740_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	F	S						24.0545	-110.976			5				Mexico	Baja California Sur	Los Cabos	8 km N, 16.5 km W Conquista Agraria 2	Desert									
TOPO049-09	CIBNOR 15518	1263468	15518	751_CLM	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Consuelo Lorenzo M							A	M	S						23.5837	-110.355			7				Mexico	Baja California Sur	Los Cabos	16 km N, 12.5 km W Todos Santos	Desert									
TOPO053-09	CIBNOR 890	1263472	890	2873_STAC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Sergio Ticul Alvarez Castaneda							A		S						25.0386	-111.652			39				Mexico	Baja California Sur	Magdalena	Ciudad Constitucion	Valley									
TOPO088-09	CIBNOR 2870	1263507	2870	STAC_3349	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Sergio Ticul Alvarez Castaneda							A	M	S						27.5899	-113.092			1187				Mexico	Baja California Sur	Vizcaino	San Francisco de la Sierra	Mountain range									
TOPO089-09	CIBNOR 8670	1263508	8670	MTA_73	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Montserrat Torres-Abrego							A	M	S						27.5899	-113.092			1187				Mexico	Baja California Sur	Vizcaino	San Francisco de la Sierra	Mountain range									
TOPO091-09	CIBNOR 11656	1263510	11656	MDLPC_1156	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Mayra De la Paz Cuevas							A	F	S						27.2976	-112.893			141				Mexico	Baja California Sur	Vizcaino	San Ignacio	Plain									
TOPO093-09	CIBNOR 6604	1263512	6604	IGR_1	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Ticul Alvarez		Gray, 1837					Izmene Gutierrez R.							A	F	S						25.2569	-111.773			55				Mexico	Baja California Sur	carretera Transpeninsular	carretera Transpeninsular	Desert									
TOPO097-09	CNMA 40005	1263516	40005	FAC_1125	Centro de Investigaciones Biologicas del Noroeste S. C.		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus			Fernando A. Cervantes		Gray, 1837					F. A. Cervantes								M	S						26.6751	-103.75			1230				Mexico	Durango	Gomez Palacio	Reserva de la Biosfera Mapimi, 140 Km NE	Desert									
TOPO687-12	CIBNOR-17676	2559648	17676	5363-STAC	Centro de Investigaciones Biologicas del Noroeste S. C.			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	306917	Lepus flavigularis			Ticul Alvarez		Wagner, 1844					Sergio Ticul Alvarez Castaneda								M							24.054	-110.976			10				Mexico	Baja California Sur			7 km S, 6 km W Reforma Agraria									
